Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O=C(N1CCC(C1)(F)F)CCN1CCC[C@@H](C1)n1nc(c2c1c1ccccc1S(=O)(=O)C2)C(=O)N1CCOCC1,C27H33F2N5O5S,577.64,40,11,0.59,7,9,0,153.07,113.43,3.29,0.85,2.83,1.34,2.05,2.07,-3.70,1.16e-01,2.00e-04,Soluble,-2.82,8.84e-01,1.53e-03,Soluble,-5.23,3.39e-03,5.87e-06,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-9.22,1,3,0,0,0,0.55,0,0,1,5.12
Molecule 2,CN1CCCC(C1)N1CCC[C@@H](C1)n1nc(c2c1c1ccccc1S(=O)(=O)C2)C(=O)N1CCOCC1,C26H35N5O4S,513.65,36,11,0.62,4,7,0,147.93,96.36,3.70,1.21,1.83,1.38,1.24,1.87,-3.75,9.15e-02,1.78e-04,Soluble,-2.83,7.59e-01,1.48e-03,Soluble,-4.44,1.86e-02,3.63e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-8.57,1,3,0,0,0,0.55,0,0,1,5.49
Molecule 3,O=C(c1nn(c2c1CS(=O)(=O)c1c2cccc1)C1CN(C1)CCC1CCOCC1)N1CCOCC1,C25H32N4O5S,500.61,35,11,0.60,6,7,0,137.39,102.35,3.74,0.86,2.15,1.17,1.95,1.97,-3.32,2.38e-01,4.76e-04,Soluble,-2.59,1.28e+00,2.55e-03,Soluble,-4.72,9.47e-03,1.89e-05,Moderately soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-8.74,1,2,0,0,0,0.55,0,0,1,4.43
Molecule 4,O=C(c1nn(c2c1CS(=O)(=O)c1c2cccn1)[C@H]1CCCN(C1)C1CCCOC1)N1CCOCC1,C24H31N5O5S,501.60,35,11,0.62,4,8,0,135.19,115.24,3.05,0.29,1.69,0.20,1.05,1.25,-3.10,3.97e-01,7.92e-04,Soluble,-2.27,2.68e+00,5.34e-03,Soluble,-4.10,4.00e-02,7.98e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-9.15,1,2,0,0,0,0.55,0,0,1,5.37
Molecule 5,O=C(c1nn(c2c1CS(=O)(=O)c1c2cccc1)[C@H]1CCCN(C1)C1CCCNC1)N1CCOCC1,C25H33N5O4S,499.63,35,11,0.60,4,7,1,143.02,105.15,3.58,0.74,1.49,1.17,1.29,1.66,-3.37,2.12e-01,4.24e-04,Soluble,-2.53,1.48e+00,2.97e-03,Soluble,-4.78,8.22e-03,1.64e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-8.82,0,2,0,0,0,0.55,0,0,1,5.37
Molecule 6,O=C(c1nn(c2c1CS(=O)(=O)c1c2cccc1)[C@H]1CCN(C1)C1CCOCC1)N1CCOCC1,C24H30N4O5S,486.58,34,11,0.58,4,7,0,132.59,102.35,2.94,0.67,1.90,0.97,1.39,1.57,-3.25,2.71e-01,5.57e-04,Soluble,-2.40,1.96e+00,4.02e-03,Soluble,-4.21,3.01e-02,6.19e-05,Moderately soluble,High,No,Yes,No,Yes,No,Yes,Yes,-8.79,0,2,0,0,0,0.55,0,0,1,5.04
Molecule 7,O=C(c1nn(c2c1CS(=O)(=O)c1c2cccc1F)C1CCCN(C1)CCC1CCOCC1)N1CCOCC1,C27H35FN4O5S,546.65,38,11,0.63,6,8,0,146.96,102.35,3.89,1.67,3.49,1.95,2.82,2.76,-4.10,4.35e-02,7.95e-05,Moderately soluble,-3.43,2.01e-01,3.69e-04,Soluble,-5.51,1.70e-03,3.12e-06,Moderately soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-8.45,1,3,0,0,0,0.55,0,0,1,5.15
Molecule 8,O=C(c1nn(c2c1CS(=O)(=O)c1c2cccc1)[C@H]1CCCN(C1)CCC1CCOCC1)N1CCOCC1,C27H36N4O5S,528.66,37,11,0.63,6,7,0,147.01,102.35,4.02,1.57,2.93,1.58,2.40,2.50,-3.93,6.20e-02,1.17e-04,Soluble,-3.33,2.47e-01,4.68e-04,Soluble,-5.25,2.99e-03,5.65e-06,Moderately soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-8.41,1,3,0,0,0,0.55,0,0,1,5.13
Molecule 9,COCCNc1cc(ncc1C#N)NC(=O)N1CCCc2c1nc(C=O)c(c2)CN1CCN(CC1=O)C,C25H30N8O4,506.56,37,12,0.44,10,8,2,147.06,143.79,2.27,0.63,-0.20,-0.96,1.30,0.61,-2.96,5.59e-01,1.10e-03,Soluble,-3.22,3.02e-01,5.96e-04,Soluble,-5.64,1.17e-03,2.30e-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-8.94,2,2,1,1,0,0.17,0,1,2,3.98
Molecule 10,C=CC(=O)N[C@H]1CCOC[C@H]1Nc1ncc2c(n1)ccc(c2)c1c(Cl)c(OC)cc(c1Cl)OC,C24H24Cl2N4O4,503.38,34,16,0.29,8,6,2,132.43,94.60,4.02,4.70,4.30,2.27,4.66,3.99,-5.74,9.11e-04,1.81e-06,Moderately soluble,-6.41,1.94e-04,3.85e-07,Poorly soluble,-8.32,2.43e-06,4.83e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.03,1,2,0,0,0,0.55,0,1,3,4.12
